name	term	lev	seq	value
"microtubule"	GO:0005874	4	ORTHOMCL13210	0
"microtubule"	GO:0005874	4	ORTHOMCL9030	0
"microtubule"	GO:0005874	4	ORTHOMCL8540	0
"microtubule"	GO:0005874	4	ORTHOMCL21017	0
"microtubule"	GO:0005874	4	ORTHOMCL9209	0
"microtubule"	GO:0005874	4	ORTHOMCL14433	0
"microtubule"	GO:0005874	4	ORTHOMCL17182	0
"microtubule"	GO:0005874	4	ORTHOMCL5488	0
"microtubule"	GO:0005874	4	ORTHOMCL8665	0
"microtubule"	GO:0005874	4	ORTHOMCL22976	0
"microtubule"	GO:0005874	4	ORTHOMCL7148	0
"microtubule"	GO:0005874	4	ORTHOMCL14982	0
"microtubule"	GO:0005874	4	ORTHOMCL13181	0
"microtubule"	GO:0005874	4	ORTHOMCL13189	0
"microtubule"	GO:0005874	4	ORTHOMCL20280	0
"microtubule"	GO:0005874	4	ORTHOMCL8629	0
"microtubule"	GO:0005874	4	ORTHOMCL21221	0
"microtubule"	GO:0005874	4	ORTHOMCL11534	0
